episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,near_collision,min_clearance
hm3d_narrow_000014,00879-7Ukhou1GxYi,normal,0.3289,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000016,00879-7Ukhou1GxYi,normal,0.2201,500,0.0,0.0,1.0,1.0,-0.17073722183704376
hm3d_narrow_000018,00879-7Ukhou1GxYi,narrow,0.0938,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000015,00879-7Ukhou1GxYi,normal,0.1825,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000012,00879-7Ukhou1GxYi,narrow,0.0107,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000073,00827-BAbdmeyTvMZ,narrow,0.1413,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000071,00827-BAbdmeyTvMZ,narrow,0.1449,500,0.0,0.0,1.0,1.0,-0.1703309863805771
hm3d_narrow_000078,00827-BAbdmeyTvMZ,narrow,0.0161,500,0.0,0.0,1.0,1.0,-0.16467510163784027
hm3d_narrow_000074,00827-BAbdmeyTvMZ,normal,0.1792,500,0.0,0.0,1.0,1.0,-0.18000000715255737
hm3d_narrow_000076,00827-BAbdmeyTvMZ,normal,0.1925,500,0.0,0.0,1.0,1.0,-0.15746058523654938
hm3d_narrow_000075,00827-BAbdmeyTvMZ,normal,0.1531,500,0.0,0.0,1.0,1.0,-0.12022317200899124
hm3d_narrow_000072,00827-BAbdmeyTvMZ,normal,0.2783,500,0.0,0.0,1.0,1.0,-0.1353430449962616
hm3d_narrow_000077,00827-BAbdmeyTvMZ,narrow,0.1221,500,0.0,0.0,1.0,1.0,-0.16939319670200348
hm3d_narrow_000070,00827-BAbdmeyTvMZ,narrow,0.1377,500,0.0,0.0,1.0,1.0,-0.1695917248725891
hm3d_narrow_000079,00827-BAbdmeyTvMZ,narrow,0.0221,500,0.0,0.0,1.0,1.0,-0.16535048186779022
hm3d_narrow_000123,00862-LT9Jq6dN3Ea,wide,0.5214,500,0.0,0.0,1.0,1.0,-0.17011524736881256
hm3d_narrow_000121,00862-LT9Jq6dN3Ea,normal,0.3339,500,0.0,0.0,1.0,1.0,-0.11702338606119156
hm3d_narrow_000120,00862-LT9Jq6dN3Ea,normal,0.3395,500,0.0,0.0,1.0,1.0,-0.17266204953193665
hm3d_narrow_000114,00862-LT9Jq6dN3Ea,normal,0.3689,500,0.0,0.0,1.0,1.0,-0.11747553199529648
hm3d_narrow_000119,00862-LT9Jq6dN3Ea,normal,0.3254,500,0.0,0.0,1.0,1.0,-0.16116784512996674
hm3d_narrow_000122,00862-LT9Jq6dN3Ea,normal,0.3811,500,0.0,0.0,1.0,1.0,-0.16977648437023163
hm3d_narrow_000115,00862-LT9Jq6dN3Ea,normal,0.3114,500,0.0,0.0,1.0,1.0,-0.1706230640411377
hm3d_narrow_000118,00862-LT9Jq6dN3Ea,narrow,0.1341,500,0.0,0.0,1.0,1.0,-0.1675523817539215
hm3d_narrow_000116,00862-LT9Jq6dN3Ea,normal,0.2413,500,0.0,0.0,1.0,1.0,-0.16951625049114227
hm3d_narrow_000117,00862-LT9Jq6dN3Ea,wide,0.5931,500,0.0,0.0,1.0,1.0,-0.1715945452451706
hm3d_narrow_000097,00861-GLAQ4DNUx5U,narrow,0.0727,500,0.0,0.0,1.0,1.0,-0.1685791164636612
